Model,Accuracy,Precision (Macro),Recall (Macro),F1 (Macro),F1 (Weighted),Training Time (s),Inference Time (s)
tabpfn_20000,0.9999333333333333,0.9999365361426668,0.9999365079365079,0.9999365079333725,0.9999333333300412,0.634845495223999,3463.3778624534607
tabpfn_10000,0.9997333333333334,0.9997460317209484,0.9997460317460317,0.9997460176304127,0.9997333185119334,0.7396602630615234,717.5780093669891
tabpfn_5000,0.9997333333333334,0.9997460881583493,0.9997460317460317,0.9997460176210023,0.9997333185020525,0.9187769889831543,271.6251120567322
random_forest,0.9949333333333333,0.9951709081906618,0.9951746031746032,0.9951642147131106,0.9949224254487662,0.6938619613647461,0.06527447700500488
xgboost,0.9924,0.9927657857777525,0.9927619047619048,0.9927286109362298,0.9923650414830412,1.8660988807678223,0.020177125930786133
catboost,0.9682666666666667,0.9695958004497116,0.9697777777777777,0.969309430389455,0.9678414798050663,1.766035556793213,0.010050535202026367
