Model,Train Size,Accuracy,Precision (Macro),Recall (Macro),F1 (Macro),F1 (Weighted),Training Time (s),Inference Time (s)
tabpfn_20000,20000,0.9999333333333332,0.9999365361426668,0.999936507936508,0.9999365079333724,0.9999333333300412,0.634845495223999,3463.3778624534607
tabpfn_10000,10000,0.9997333333333334,0.9997460317209484,0.9997460317460316,0.9997460176304128,0.9997333185119334,0.7396602630615234,717.5780093669891
tabpfn_5000,5000,0.9997333333333334,0.9997460881583492,0.9997460317460316,0.9997460176210023,0.9997333185020524,0.9187769889831544,271.6251120567322
random_forest,69999,0.9949333333333332,0.9951709081906618,0.9951746031746032,0.9951642147131106,0.9949224254487662,0.6938619613647461,0.0652744770050048
xgboost,69999,0.9924,0.9927657857777524,0.9927619047619048,0.9927286109362298,0.9923650414830412,1.8660988807678225,0.0201771259307861
catboost,69999,0.9682666666666668,0.9695958004497116,0.9697777777777776,0.969309430389455,0.9678414798050664,1.766035556793213,0.0100505352020263
