Train Size,Accuracy,Precision (Macro),Recall (Macro),F1 (Macro),F1 (Weighted),Training Time (s),Inference Time (s)
5000,0.9997333333333334,0.9997460881583493,0.9997460317460317,0.9997460176210023,0.9997333185020525,0.9187769889831543,271.6251120567322
10000,0.9997333333333334,0.9997460317209484,0.9997460317460317,0.9997460176304127,0.9997333185119334,0.7396602630615234,717.5780093669891
20000,0.9999333333333333,0.9999365361426668,0.9999365079365079,0.9999365079333725,0.9999333333300412,0.634845495223999,3463.3778624534607
